product_id,product_name,primary_category,discounted_price_value,actual_price_value,discount_rate,rating_value,rating_count_value,business_priority_score,customer_trust_index,revenue_opportunity_score,recommended_action
B07H1S7XW8,"STRIFF Wall Mount Phone Holder Wall Mount with Adhesive Strips, Charging Holder Compatible with iPhone, Smartphone and Mini Tablet (Pack of 1) (White)",Electronics,89.0,499.0,0.82,4.1,9340.0,0.5998679927111382,0.6571030029334393,0.006968076957920411,Monitor and optimize merchandising placement.
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,309.0,475.0,0.35,4.4,426973.0,0.596266135336248,1.0,0.004000764541547174,Monitor and optimize merchandising placement.
B09MT84WV5,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics,1059.0,3999.0,0.74,4.3,140035.0,0.5939877259529217,0.8931971755691502,0.06476388389696024,Monitor and optimize merchandising placement.
B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon, Soft Fabric, Mesh Pocket, Green",Electronics,119.0,499.0,0.76,4.3,15032.0,0.5887887931992886,0.7244809059387756,0.0067943570166341125,Monitor and optimize merchandising placement.
B09MT84WV5,"Samsung EVO Plus 128GB microSDXC UHS-I U3 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC128KA), Blue",Electronics,1149.0,3999.0,0.71,4.3,140036.0,0.5879275098808956,0.893197714376223,0.06278135385666879,Monitor and optimize merchandising placement.
B07Q4QV1DL,"ELV Aluminum Adjustable Mobile Phone Foldable Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",Electronics,269.0,1499.0,0.82,4.5,28978.0,0.5862608165019074,0.8099207801792003,0.0234929924375415,Monitor and optimize merchandising placement.
B09MT6XSFW,"Samsung EVO Plus 64GB microSDXC UHS-I U1 130MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64KA), Blue",Electronics,599.0,1899.0,0.68,4.3,140036.0,0.5857839202537681,0.893197714376223,0.028637108776726112,Monitor and optimize merchandising placement.
B08H9Z3XQW,boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),Electronics,455.0,1490.0,0.69,4.1,161677.0,0.5823939744200639,0.8620531439863044,0.023076032789330965,Monitor and optimize merchandising placement.
B01LWYDEQ7,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",Home&Kitchen,199.0,495.0,0.6,4.1,270563.0,0.5818612494155317,0.8990634864791401,0.006882854740589602,Monitor and optimize merchandising placement.
B08GJ57MKL,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0.1 Particles, Warranty 7 Years (AirMega 150 (AP-1019C))",Home&Kitchen,14400.0,59900.0,0.76,4.4,3837.0,0.581600565184531,0.6339034276560394,0.6980518171075436,Monitor and optimize merchandising placement.
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,209.0,695.0,0.7,4.5,107687.0,0.5788716515503689,0.9139088627965603,0.010468558543859082,Monitor and optimize merchandising placement.
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,209.0,695.0,0.7,4.5,107686.0,0.5788712872563009,0.9139081286068911,0.010468550154074106,Monitor and optimize merchandising placement.
B07N8RQ6W7,Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),Electronics,134.0,699.0,0.81,4.1,16685.0,0.57588248322643,0.698808961154586,0.010211709528910573,Monitor and optimize merchandising placement.
B088ZFJY82,"Elv Aluminium Adjustable Mobile Phone Foldable Holder Tabletop Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Moonlight Silver)",Electronics,314.0,1499.0,0.79,4.5,28978.0,0.5747639375075924,0.8099207801792003,0.022633492714216812,Monitor and optimize merchandising placement.
B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,Electronics,939.0,1800.0,0.48,4.5,205052.0,0.5737090626950706,0.9648009250159255,0.01957698541340038,Monitor and optimize merchandising placement.
