product_id,product_name,primary_category,discounted_price_value,actual_price_value,discount_rate,rating_value,price_competitiveness_index,discount_effectiveness_score,pricing_signal
B09RWQ7YR6,MI 138.8 cm (55 inches) 5X Series 4K Ultra HD LED Smart Android TV L55M6-ES (Grey),Electronics,46999.0,69999.0,0.33,4.3,0.0013817239944803003,0.35106382978723405,No urgent price intervention.
B092BL5DCX,Samsung 138 cm (55 inches) Crystal 4K Series Ultra HD Smart LED TV UA55AUE60AKLXL (Black),Electronics,45999.0,69900.0,0.34,4.3,0.0014182767572124546,0.3617021276595745,No urgent price intervention.
B0B5V47VK4,"OnePlus 10T 5G (Moonstone Black, 8GB RAM, 128GB Storage)",Electronics,44999.0,49999.0,0.1,4.3,0.0014564541232794453,0.10638297872340426,No urgent price intervention.
B08L879JSN,"Acer EK220Q 21.5 Inch (54.61 cm) Full HD (1920x1080) VA Panel LCD Monitor with LED Back Light I 250 Nits I HDMI, VGA Ports I Eye Care Features Like Bluelight Shield, Flickerless & Comfy View (Black)",Computers&Accessories,6299.0,13750.0,0.54,4.2,0.0014723098954626899,0.5611083621969323,No urgent price intervention.
B095JQVC7N,OnePlus 138.7 cm (55 inches) U Series 4K LED Smart Android TV 55U1S (Black),Electronics,42999.0,59999.0,0.28,4.1,0.001538136053636687,0.28401781296387923,No urgent price intervention.
B08D9MNH4B,"HP Deskjet 2723 AIO Printer, Copy, Scan, WiFi, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.",Computers&Accessories,5899.0,7005.0,0.16,3.6,0.0015924642561271247,0.14250371103414153,Likely overpriced relative to customer value.
B094QZLJQ6,"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)",Computers&Accessories,5799.0,7999.0,0.28,4.5,0.0016250928264765505,0.3117268678871846,No urgent price intervention.
B096NTB9XT,"Aquaguard Aura RO+UV+UF+Taste Adjuster(MTDS) with Active Copper & Zinc 7L water purifier,8 stages of purification,suitable for borewell,tanker,municipal water(Black) from Eureka Forbes",Home&Kitchen,15999.0,24500.0,0.35,4.0,0.0016299008524582475,0.34636318654131615,No urgent price intervention.
B07VTFN6HM,"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",Computers&Accessories,5599.0,7350.0,0.24,4.4,0.0016938465098097395,0.2612568035625928,No urgent price intervention.
B0B9XLX8VR,VU 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey),Electronics,37999.0,65000.0,0.42,4.3,0.0017799585479224259,0.44680851063829785,No urgent price intervention.
B08VB57558,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers",Electronics,37990.0,74999.0,0.49,4.2,0.0017804512203566775,0.5091538842157348,No urgent price intervention.
B01JOFKL0A,Canon PIXMA E477 All-in-One Wireless Ink Efficient Colour Printer (White/Blue),Computers&Accessories,5299.0,6355.0,0.17,3.9,0.001806708165683252,0.1640277090549233,Likely overpriced relative to customer value.
B01KCSGBU2,"Philips Air Purifier Ac2887/20,Vitashield Intelligent Purification,Long Hepa Filter Life Upto 17000 Hours,Removes 99.9% Airborne Viruses & Bacteria,99.97% Airborne Pollutants,Ideal For Master Bedroom",Home&Kitchen,14499.0,23559.0,0.38,4.3,0.0018295250393912412,0.40425531914893614,No urgent price intervention.
B08GJ57MKL,"Coway Professional Air Purifier for Home, Longest Filter Life 8500 Hrs, Green True HEPA Filter, Traps 99.99% Virus & PM 0.1 Particles, Warranty 7 Years (AirMega 150 (AP-1019C))",Home&Kitchen,14400.0,59900.0,0.76,4.4,0.001844163231488804,0.8273132112815439,"Discount is working, validate margin tolerance."
B0B997FBZT,Acer 139 cm (55 inches) H Series 4K Ultra HD Android Smart LED TV AR55AR2851UDPRO (Black),Electronics,35999.0,49990.0,0.28,4.3,0.0018954964843294643,0.2978723404255319,No urgent price intervention.
B08BJN4MP3,HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L Water Purifier,Home&Kitchen,13999.0,24850.0,0.44,4.4,0.0019055730277413843,0.47897080653142016,No urgent price intervention.
B09WRMNJ9G,"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",Electronics,34999.0,38999.0,0.1,4.2,0.001958217219858066,0.10390895596239487,No urgent price intervention.
B0B3D39RKV,"OnePlus Nord 2T 5G (Jade Fog, 12GB RAM, 256GB Storage)",Electronics,33999.0,33999.0,0.0,4.3,0.002024627518934337,0.0,No urgent price intervention.
B0B1YZ9CB8,Acer 139 cm (55 inches) I Series 4K Ultra HD Android Smart LED TV AR55AR2851UDFL (Black),Electronics,32999.0,47990.0,0.31,4.3,0.0020950628065906423,0.3297872340425532,No urgent price intervention.
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,32999.0,45999.0,0.28,4.2,0.0020950628065906423,0.29094507669470565,No urgent price intervention.
B08Y55LPBF,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50 | L50M6-RA (Black),Electronics,32999.0,44999.0,0.27,4.2,0.0020950628065906423,0.28055418109846614,No urgent price intervention.
B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),Electronics,32990.0,47900.0,0.31,4.3,0.002095716112565339,0.3297872340425532,No urgent price intervention.
B09NNGHG22,Sansui 140cm (55 inches) 4K Ultra HD Certified Android LED TV with Dolby Audio & Dolby Vision JSW55ASUHD (Mystique Black),Electronics,32990.0,56790.0,0.42,4.3,0.002095716112565339,0.44680851063829785,No urgent price intervention.
B0B2C5MJN6,Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black),Electronics,32990.0,54990.0,0.4,4.1,0.002095716112565339,0.4057397328055418,No urgent price intervention.
B07R679HTT,AGARO Imperial 240-Watt Slow Juicer with Cold Press Technology,Home&Kitchen,12609.0,23999.0,0.47,4.4,0.0021486758112283116,0.5116279069767442,No urgent price intervention.
B09MJ77786,MI 108 cm (43 inches) 5X Series 4K Ultra HD LED Smart Android TV L43M6-ES (Grey),Electronics,31999.0,49999.0,0.36,4.3,0.0021699004372986866,0.3829787234042553,No urgent price intervention.
B08MZNT7GP,Havells OFR 13 Wave Fin with PTC Fan Heater 2900 Watts (Black),Home&Kitchen,12499.0,19825.0,0.37,4.1,0.0021702229476762737,0.3753092528451262,No urgent price intervention.
B06XDKWLJH,"Western Digital WD 1.5TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBU6Y0015BBK-WESN)",Computers&Accessories,4449.0,5734.0,0.22,4.4,0.002209139835384628,0.23948540326571008,No urgent price intervention.
B092BJMT8Q,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),Electronics,30990.0,52900.0,0.41,4.3,0.002250306796721609,0.43617021276595747,No urgent price intervention.
B0B3XY5YT4,LG 108 cm (43 inches) 4K Ultra HD Smart LED TV 43UQ7500PSF (Ceramic Black),Electronics,30990.0,49990.0,0.38,4.3,0.002250306796721609,0.40425531914893614,No urgent price intervention.
B08XXF5V6G,Kodak 139 cm (55 inches) 4K Ultra HD Smart LED TV 55CA0909 (Black),Electronics,29999.0,50999.0,0.41,4.4,0.0023345437237905532,0.44631370608609605,No urgent price intervention.
B09VCHLSJF,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),Electronics,29999.0,39999.0,0.25,4.2,0.0023345437237905532,0.25977238990598717,No urgent price intervention.
B07WHS7MZ1,"iQOO 9 SE 5G (Sunset Sierra, 8GB RAM, 128GB Storage) | Qualcomm Snapdragon 888 | 66W Flash Charge",Electronics,29990.0,39990.0,0.25,4.3,0.002335334250378084,0.26595744680851063,No urgent price intervention.
B0BB3CBFBM,VU 138 cm (55 inches) Premium Series 4K Ultra HD Smart IPS LED TV 55UT (Black),Electronics,29990.0,65000.0,0.54,4.1,0.002335334250378084,0.5477486392874814,No urgent price intervention.
B08ZJDWTJ1,"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)",Computers&Accessories,4098.0,4999.0,0.18,4.5,0.002424022958178934,0.2003958436417615,No urgent price intervention.
B07WDKLDRX,"iQOO Neo 6 5G (Dark Nova, 8GB RAM, 128GB Storage) | Snapdragon® 870 5G | 80W FlashCharge",Electronics,28999.0,34999.0,0.17,4.4,0.0024253816927628153,0.18505690252350326,No urgent price intervention.
B0B3CPQ5PF,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)",Electronics,28999.0,28999.0,0.0,4.3,0.0024253816927628153,0.0,No urgent price intervention.
B0B3CQBRB4,"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)",Electronics,28999.0,28999.0,0.0,4.3,0.0024253816927628153,0.0,No urgent price intervention.
B08D9NDZ1Y,"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/Small Office, Compact Size, Reliable, Easy Set-Up Through Smart App On Your Pc Connected Through USB, Ideal for Home.",Computers&Accessories,3999.0,4332.96,0.08,3.5,0.002491451130263176,0.06927263730826325,Likely overpriced relative to customer value.
B0B1YZX72F,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),Electronics,27999.0,40990.0,0.32,4.3,0.0025227083198280276,0.3404255319148936,No urgent price intervention.
B08XNL93PL,"Portronics Ruffpad 15 Re-Writable LCD Screen 38.1cm (15-inch) Writing Pad for Drawing, Playing, Handwriting Gifts for Kids & Adults (Grey)",OfficeProducts,1399.0,2999.0,0.53,4.3,0.0025557395620065407,0.5638297872340425,No urgent price intervention.
B09RFC46VP,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),Electronics,26999.0,42999.0,0.37,4.2,0.0026272445936998045,0.384463137060861,No urgent price intervention.
B09PLD9TCD,Kodak 126 cm (50 inches) Bezel-Less Design Series 4K Ultra HD Smart Android LED TV 50UHDX7XPROBL (Black),Electronics,26999.0,42999.0,0.37,4.2,0.0026272445936998045,0.384463137060861,No urgent price intervention.
B0846D5CBP,"Casio FX-991ES Plus-2nd Edition Scientific Calculator, Black",OfficeProducts,1295.0,1295.0,0.0,4.5,0.0027850540287602333,0.0,No urgent price intervention.
B0811VCGL5,"Mi Air Purifier 3 with True HEPA Filter, removes air pollutants, smoke, odor, bacteria & viruses with 99.97% efficiency, coverage area up to 484 sq. ft., Wi-Fi & Voice control - Alexa/GA (white)",Home&Kitchen,9970.0,12999.0,0.23,4.3,0.0027967375424985523,0.2446808510638298,No urgent price intervention.
B086X18Q71,Usha Janome Dream Stitch Automatic Zig-Zag Electric Sewing Machine with 14 Stitch Function (White and Blue) with Free Sewing KIT Worth RS 500,Home&Kitchen,9799.0,12150.0,0.19,4.3,0.0028507721478501003,0.20212765957446807,No urgent price intervention.
B09Q5P2MT3,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),Electronics,24999.0,31999.0,0.22,4.2,0.002861406850760957,0.2285997031172687,No urgent price intervention.
B0B6F8HHR6,MI 108 cm (43 inches) 5A Series Full HD Smart Android LED TV L43M7-EAIN (Black),Electronics,24999.0,35999.0,0.31,4.2,0.002861406850760957,0.3221177634834241,No urgent price intervention.
B08FD2VSD9,TCL 108 cm (43 inches) 4K Ultra HD Certified Android Smart LED TV 43P615 (Black),Electronics,24990.0,51990.0,0.52,4.2,0.002862545292557787,0.5403265710044534,No urgent price intervention.
B01EJ5MM5M,Canon PIXMA MG2577s All-in-One Inkjet Colour Printer with 1 Additional Colour Cartridge,Computers&Accessories,3498.0,3875.0,0.1,3.4,0.0028912081205485743,0.08411677387431965,Likely overpriced relative to customer value.
B01N1XVVLC,"Bajaj OFR Room Heater, 13 Fin 2900 Watts Oil Filled Room Heater with 400W PTC Ceramic Fan Heater, ISI Approved (Majesty 13F Plus Black)",Home&Kitchen,9590.0,15999.0,0.4,4.1,0.0029194313434114986,0.4057397328055418,No urgent price intervention.
B087JWLZ2K,AmazonBasics 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV AB43U20PS (Black),Electronics,24499.0,50000.0,0.51,3.9,0.00292592118581947,0.49208312716476993,Likely overpriced relative to customer value.
B09M3F4HGB,"Borosil Volcano 13 Fin Oil Filled Radiator Room Heater, 2900 W, Black",Home&Kitchen,9495.0,18990.0,0.5,4.2,0.00295163927377227,0.5195447798119743,No urgent price intervention.
B0B1YY6JJL,Acer 109 cm (43 inches) I Series 4K Ultra HD Android Smart LED TV AR43AR2851UDFL (Black),Electronics,23999.0,34990.0,0.31,4.3,0.0029931237301808085,0.3297872340425532,No urgent price intervention.
B09XJ5LD6L,"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 108MP | sAmoled+ 120Hz | 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics,23999.0,32999.0,0.27,3.9,0.0029931237301808085,0.26051459673428995,Likely overpriced relative to customer value.
B09YLWT89W,"Sure From Aquaguard Delight NXT RO+UV+UF+Taste Adjuster(MTDS),6L water purifier,8 stages purification,Suitable for borewell,tanker,municipal water(Black) from Eureka Forbes",Home&Kitchen,9199.0,18000.0,0.49,4.0,0.0030562578758391973,0.48490846115784264,No urgent price intervention.
B0B25LQQPC,"Crucial P3 500GB PCIe 3.0 3D NAND NVMe M.2 SSD, up to 3500MB/s - CT500P3SSD8",Computers&Accessories,3307.0,6100.0,0.46,4.3,0.0030755011534684615,0.4893617021276596,No urgent price intervention.
B078HRR1XV,Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | Battery Free Cordless Pen with 2048 Pressure Level,Computers&Accessories,3303.0,4699.0,0.3,4.4,0.00307958855000725,0.326571004453241,No urgent price intervention.
B016XVRKZM,"APC Back-UPS BX600C-IN 600VA / 360W, 230V, UPS System, an Ideal Power Backup & Protection for Home Office, Desktop PC & Home Electronics",Computers&Accessories,3299.0,4100.0,0.2,3.9,0.0030836858583897214,0.1929737753587333,Likely overpriced relative to customer value.
B072J83V9W,Philips PowerPro FC9352/01 Compact Bagless Vacuum Cleaner (Blue),Home&Kitchen,8999.0,9995.0,0.1,4.4,0.0031308422610881194,0.10885700148441367,No urgent price intervention.
B09T2S8X9C,"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics,22999.0,28999.0,0.21,3.9,0.003136294749295417,0.20262246412666995,Likely overpriced relative to customer value.
B072NCN9M4,"AMERICAN MICRONIC- Imported Wet & Dry Vacuum Cleaner, 21 Litre Stainless Steel with Blower & HEPA filter, 1600 Watts 100% Copper Motor 28 KPa suction with washable reusable dust bag (Red/Black/Steel)-AMI-VCD21-1600WDx",Home&Kitchen,8886.0,11850.0,0.25,4.2,0.0031744667821714235,0.25977238990598717,No urgent price intervention.
B097RJ867P,"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapid Air Technology (Black), Large",Home&Kitchen,8799.0,11595.0,0.24,4.4,0.0032088172309602462,0.2612568035625928,No urgent price intervention.
B01L6MT7E0,"Philips AC1215/20 Air purifier, removes 99.97% airborne pollutants, 4-stage filtration with True HEPA filter (white)",Home&Kitchen,8799.0,11995.0,0.27,4.1,0.0032088172309602462,0.2738743196437407,No urgent price intervention.
B07FJNNZCJ,"V-Guard Zenora RO+UF+MB Water Purifier | Suitable for water with TDS up to 2000 ppm | 8 Stage Purification with World-class RO Membrane and Advanced UF Membrane | Free PAN India Installation & 1-Year Comprehensive Warranty | 7 Litre, Black",Home&Kitchen,8699.0,13049.0,0.33,4.3,0.0032491492664746303,0.35106382978723405,No urgent price intervention.
B07TC9F7PN,Racold Eterno Pro 25L Vertical 5 Star Storage Water Heater (Geyser) with free Standard Installation and free Installation Pipes,Home&Kitchen,8699.0,16899.0,0.49,4.2,0.0032491492664746303,0.5091538842157348,No urgent price intervention.
B07P1BR7L8,"Philips HD6975/00 25 Litre Digital Oven Toaster Grill, Grey, 25 liter",Home&Kitchen,8599.0,8995.0,0.04,4.4,0.0032904193653804418,0.04354280059376547,No urgent price intervention.
B0B6F98KJJ,MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV with 24W Dolby Audio & Metal Bezel-Less Frame (Black) (2022 Model),Electronics,21999.0,29999.0,0.27,4.2,0.0032924819072449366,0.28055418109846614,No urgent price intervention.
B09HQSV46W,Mi 100 cm (40 inches) Horizon Edition Full HD Android LED TV 4A | L40M6-EI (Black),Electronics,21999.0,29999.0,0.27,4.2,0.0032924819072449366,0.28055418109846614,No urgent price intervention.
B0B21XL94T,Toshiba 108 cm (43 inches) V Series Full HD Smart Android LED TV 43V35KP (Silver),Electronics,21990.0,34990.0,0.37,4.3,0.003293952090783415,0.39361702127659576,No urgent price intervention.
B0BCYQY9X5,"Livpure Glo Star RO+UV+UF+Mineraliser - 7 L Storage Tank, 15 LPH Water Purifier for Home, Black",Home&Kitchen,8499.0,16490.0,0.48,4.3,0.0033326606396929075,0.5106382978723405,No urgent price intervention.
B07WDK3ZS2,"iQOO Z6 Pro 5G by vivo (Legion Sky, 8GB RAM, 128GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",Electronics,20999.0,29990.0,0.3,4.3,0.003463544740983734,0.3191489361702127,No urgent price intervention.
B07WHSJXLF,"iQOO Z6 Pro 5G by vivo (Phantom Dusk, 8GB RAM, 128GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",Electronics,20999.0,29990.0,0.3,4.3,0.003463544740983734,0.3191489361702127,No urgent price intervention.
B09T2WRLJJ,"Redmi Note 11 Pro + 5G (Phantom White, 8GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics,20999.0,26999.0,0.22,3.9,0.003463544740983734,0.21227115289460663,Likely overpriced relative to customer value.
B099K9ZX65,Hisense 108 cm (43 inches) 4K Ultra HD Smart Certified Android LED TV 43A6GE (Black),Electronics,20990.0,44990.0,0.53,4.1,0.0034651583141859623,0.537605145967343,No urgent price intervention.
B07YC8JHMB,"Aquasure From Aquaguard Amaze RO+UV+MTDS,7L storage water purifier,suitable for borewell,tanker,municipal water (Grey) from Eureka Forbes",Home&Kitchen,8199.0,16000.0,0.49,3.9,0.003465566866481381,0.47278574962889663,Likely overpriced relative to customer value.
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,19999.0,34999.0,0.43,4.3,0.003651714713453348,0.4574468085106383,No urgent price intervention.
B07WFPMGQQ,"iQOO Z6 Pro 5G by vivo (Legion Sky, 6GB RAM, 128GB Storage) | Snapdragon 778G 5G | 66W FlashCharge | 1300 nits Peak Brightness | HDR10+",Electronics,19999.0,27990.0,0.29,4.3,0.003651714713453348,0.30851063829787234,No urgent price intervention.
B09T39K9YL,"Redmi Note 11 Pro + 5G (Stealth Black, 6GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included",Electronics,19999.0,24999.0,0.2,3.9,0.003651714713453348,0.1929737753587333,Likely overpriced relative to customer value.
B07DZ986Q2,"Philips EasyTouch Plus Standing Garment Steamer GC523/60 - 1600 Watt, 5 Steam Settings, Up to 32 g/min steam, with Double Pole",Home&Kitchen,7799.0,8995.0,0.13,4.0,0.003658680517201599,0.1286491835724889,No urgent price intervention.
B07VZH6ZBB,Crompton Solarium Qube 15-L 5 Star Rated Storage Water Heater (Geyser) with Free Installation and Connection Pipes (White and Black),Home&Kitchen,7799.0,12500.0,0.38,4.0,0.003658680517201599,0.376051459673429,No urgent price intervention.
B0BC9BW512,Acer 100 cm (40 inches) P Series Full HD Android Smart LED TV AR40AR2841FDFL (Black),Electronics,18999.0,24990.0,0.24,4.3,0.003859693093993872,0.25531914893617025,No urgent price intervention.
B0B7B9V9QP,VU 108 cm (43 inches) Premium Series Full HD Smart LED TV 43GA (Black),Electronics,18999.0,35000.0,0.46,4.0,0.003859693093993872,0.4552201880257299,No urgent price intervention.
B09T3KB6JZ,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),Electronics,18990.0,40990.0,0.54,4.2,0.003861664354483175,0.5611083621969323,No urgent price intervention.
B01892MIPA,AO Smith HSE-VAS-X-015 Storage 15 Litre Vertical Water Heater (Geyser) White 4 Star,Home&Kitchen,7349.0,10900.0,0.33,4.2,0.0039010612730917813,0.34289955467590305,No urgent price intervention.
B09BVCVTBC,"Redragon K617 Fizz 60% Wired RGB Gaming Keyboard, 61 Keys Compact Mechanical Keyboard w/White and Grey Color Keycaps, Linear Red Switch, Pro Driver/Software Supported",Computers&Accessories,2649.0,3499.0,0.24,4.5,0.003913878028241274,0.2671944581890154,No urgent price intervention.
B0148NPH9I,"Logitech K380 Wireless Multi-Device Keyboard for Windows, Apple iOS, Apple TV Android or Chrome, Bluetooth, Compact Space-Saving Design, PC/Mac/Laptop/Smartphone/Tablet (Dark Grey)",Computers&Accessories,2640.0,3195.0,0.17,4.5,0.003928242384718583,0.1892627412172192,No urgent price intervention.
B09TWHTBKQ,"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Travel Adapter to be Purchased Separately",Electronics,18499.0,25999.0,0.29,4.1,0.003972114296016412,0.29416130628401777,No urgent price intervention.
B09CTWFV5W,"PHILIPS Air Fryer HD9200/90, uses up to 90% less fat, 1400W, 4.1 Liter, with Rapid Air Technology (Black), Large",Home&Kitchen,7199.0,9995.0,0.28,4.4,0.0039885885924040715,0.3047996041563583,No urgent price intervention.
B00MUTWLW4,"Logitech K480 Wireless Multi-Device Keyboard for Windows, macOS, iPadOS, Android or Chrome OS, Bluetooth, Compact, Compatible with PC, Mac, Laptop, Smartphone, Tablet - Black",Computers&Accessories,2595.0,3295.0,0.21,4.4,0.004001558724426467,0.2285997031172687,No urgent price intervention.
B07WHQBZLS,"iQOO vivo Z6 5G (Chromatic Blue, 8GB RAM, 128GB Storage) | Snapdragon 695-6nm Processor | 120Hz FHD+ Display | 5000mAh Battery",Electronics,17999.0,21990.0,0.18,4.0,0.004090781467371834,0.1781296387926769,No urgent price intervention.
B07MKMFKPG,Bosch Pro 1000W Mixer Grinder MGM8842MIN - Black,Home&Kitchen,6999.0,10590.0,0.34,4.4,0.004111127673153897,0.3701138050470065,No urgent price intervention.
B08J7VCT12,"KENT 16068 Zoom Vacuum Cleaner for Home and Car 130 W | Cordless, Hoseless, Rechargeable HEPA Filters Vacuum Cleaner with Cyclonic Technology | Bagless Design and Multi Nozzle Operation | Blue",Home&Kitchen,6999.0,14999.0,0.53,4.1,0.004111127673153897,0.537605145967343,No urgent price intervention.
B08GM5S4CQ,Havells Instanio 10 Litre Storage Water Heater with Flexi Pipe and Free installation (White Blue),Home&Kitchen,6990.0,14290.0,0.51,4.4,0.00411680680733191,0.5551707075705097,No urgent price intervention.
B07GVR9TG7,"TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz, 5 Gigabit Ports, 4 External Antennas, MU-MIMO, Dual Band, WiFi Coverage with Access Point Mode, Black",Computers&Accessories,2499.0,4999.0,0.5,4.4,0.004166791867777729,0.5442850074220683,No urgent price intervention.
